Serial,OPEID,InstitutionName,Address,City,ST,Zip,BwrsWhoEnteredRepayment Status,BwrsInDefault,CohortDefaultRate,TotalBwrsInDefault,TotalPrincipalOutstandingOnLoansInDefault
000001,00100200,Alabama Agricultural & Mechanical University,4900 Meridian Street,Normal,AL,35762-1357,190,75,39.47%,1648,1129488                                                                                                                         
000006,00100500,Alabama State University,915 South Jackson Street,Montgomery,AL,36104-5714,126,9,7.14%,1641,1503117                                                                                                                                       
000013,00100900,Auburn University,107 Samford Hall,Auburn,AL,36849-5113,534,41,7.68%,312,892614                                                                                                                                                           
000014,00831000,Auburn University Montgomery,7440 East Drive,Montgomery,AL,36117-3596,122,25,20.49%,190,470453                                                                                                                                            
000016,00101200,Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254-0002,94,22,23.4%,115,361695                                                                                                                                          
000005,01055400,Concordia College Alabama,1712 Broad Street,Selma,AL,36701-3323,367,85,23.16%,75,52874                                                                                                                                                    
000002,00100300,Faulkner University,5345 Atlanta Highway,Montgomery,AL,36109-3398,44,6,13.64%,52,124189                                                                                                                                                   
000036,00101900,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148,49,8,16.33%,92,156415                                                                                                                                               
000038,00102000,Jacksonville State University,700 Pelham Road  North,Jacksonville,AL,36265-1602,1,1,100%,0,0                                                                                                                                              
000041,00102200,Jefferson State Community College,2601 Carson Road,Birmingham,AL,35215-3098,0,0,0%,5,7204                                                                                                                                                 
000044,00102300,Judson College,302 Bibb Street,Marion,AL,36756-2504,29,9,31.03%,38,53485                                                                                                                                                                  
000052,00102800,Miles College,5500 Myron Massey Boulevard,Fairfield,AL,35064-2697,0,0,0%,155,93059                                                                                                                                                        
000059,00103300,Oakwood University,7000 Adventist Boulevard  Northwest,Huntsville,AL,35896-0001,0,0,0%,152,89761                                                                                                                                          
000064,00103600,Samford University,800 Lakeshore Drive,Birmingham,AL,35229-7000,139,6,4.32%,111,334902                                                                                                                                                    
000071,00104100,Spring Hill College,4000 Dauphin Street,Mobile,AL,36608-1791,100,20,20%,169,328418                                                                                                                                                        
000072,00104400,Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35401-1430,47,20,42.55%,95,43906                                                                                                                                                   
000073,00104600,Talladega College,627 West Battle Street,Talladega,AL,35160-2354,0,0,0%,186,213790                                                                                                                                                        
000074,00104700,Troy University,University Avenue,Troy,AL,36082-0001,91,23,25.27%,292,722100                                                                                                                                                              
000076,00105000,Tuskegee University,308 Kresge Center,Tuskegee Institute,AL,36088-1645,270,43,15.93%,3557,4878567                                                                                                                                         
000079,00105100,University of Alabama,Rose Administration Building,Tuscaloosa,AL,35487-0120,512,67,13.09%,587,1580602                                                                                                                                     
000080,00105200,University of Alabama at Birmingham,1530 3rd Avenue South,Birmingham,AL,35294-1150,594,66,11.11%,472,1386289                                                                                                                              
000053,00102900,University of Mobile,5735 College Parkway,Mobile,AL,36663-0220,45,11,24.44%,105,160002                                                                                                                                                    
000082,00100400,University of Montevallo,Palmer Circle,Montevallo,AL,35115-6000,61,17,27.87%,111,118544                                                                                                                                                   
000027,00101600,University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001,72,10,13.89%,239,396639                                                                                                                                             
000083,00105700,University of South Alabama,307 University Boulevard North,Mobile,AL,36688-0002,119,5,4.2%,82,175755                                                                                                                                      
000046,00102400,University of West Alabama,205 North Washington,Livingston,AL,35470-0000,45,24,53.33%,119,129565                                                                                                                                          
000097,01084700,Arizona Automotive Institute,6829 North 46th Avenue,Glendale,AZ,85301-3503,34,0,0%,55,42021                                                                                                                                               
000140,00711300,Arizona Christian University,2625 East Cactus Road,Phoenix,AZ,85032-7097,0,0,0%,6,21542                                                                                                                                                   
000101,00108100,Arizona State University,Student Financial Assistance Office,Tempe,AZ,85287-0412,437,70,16.02%,630,1992318                                                                                                                                
000102,00107100,Arizona Western College,2020 South Avenue 8E,Yuma,AZ,85365-8847,2,1,50%,3,3854                                                                                                                                                            
008903,04051300,Art Institute of Phoenix (The),2233 West Dunlap Avenue,Phoenix,AZ,85021-2859,32,14,43.75%,2111,2741368                                                                                                                                    
000134,00728300,Central Arizona College,8470 North Overfield Road,Coolidge,AZ,85228-9779,0,0,0%,54,25868                                                                                                                                                  
008032,03072200,Chandler - Gilbert Community College,2626 East Pecos Road,Chandler,AZ,85225-2499,1,1,100%,0,0                                                                                                                                             
000122,00830300,GateWay Community College,108 North 40th Street,Phoenix,AZ,85034-1795,12,2,16.67%,33,44613                                                                                                                                                
000115,00107600,Glendale Community College,6000 West Olive Avenue,Glendale,AZ,85302-3090,5,1,20%,20,29951                                                                                                                                                 
000118,00107400,Grand Canyon University,3300 West Camelback Road,Phoenix,AZ,85017-3030,182,50,27.47%,338,719562                                                                                                                                           
000123,00107700,Mesa Community College,1833 West Southern Avenue,Mesa,AZ,85202-4866,14,5,35.71%,50,83455                                                                                                                                                  
000126,00108200,Northern Arizona University,Gammage  Building #1 Knoles Drive,Flagstaff,AZ,86011-0001,322,47,14.6%,584,1435479                                                                                                                            
000131,00107800,Phoenix College,1202 West Thomas Road,Phoenix,AZ,85013-4234,14,3,21.43%,73,150806                                                                                                                                                         
000133,00726600,Pima County Community College,401 North Bonita Avenue,Tucson,AZ,85709-5000,43,11,25.58%,305,685312                                                                                                                                        
006229,02217100,Pima Medical Institute,3350 East Grant Road,Tucson,AZ,85716-2800,0,0,0%,12,19413                                                                                                                                                          
000139,00830400,Scottsdale Community College,9000 East Chaparral Road,Scottsdale,AZ,85256-2626,12,3,25%,17,23536                                                                                                                                          
000094,00107000,Thunderbird School of Global Management,1 Global Place,Glendale,AZ,85306-6000,57,7,12.28%,128,515831                                                                                                                                      
000112,00446700,Tucson College,5151 East Broadway Boulevard,Tucson,AZ,85711-3781,0,0,0%,84,69186                                                                                                                                                          
000146,00822100,Universal Technical Institute,10695 West Pierce Street,Avondale,AZ,85323-7946,72,10,13.89%,814,878463                                                                                                                                     
005461,02100500,Universal Technical Institute,2844 West Deer Valley Road,Phoenix,AZ,85027-9969,38,5,13.16%,164,153731                                                                                                                                     
000147,00108300,University of Arizona (The),PO Box 210066,Tucson,AZ,85721-0066,343,54,15.74%,381,1467497                                                                                                                                                  
006176,02098800,University of Phoenix,1625 West Fountainhead Parkway,Tempe,AZ,85282-2371,33,12,36.36%,268,769796                                                                                                                                          
005877,02171500,Western International University,9215 North Black Canyon Highway,Phoenix,AZ,85021-2718,18,7,38.89%,27,49546                                                                                                                               
000148,00107900,Yavapai College,1100 East Sheldon Street,Prescott,AZ,86301-3297,38,15,39.47%,70,144526                                                                                                                                                    
000153,00109000,Arkansas State University,2105 Aggie Road,Jonesboro,AR,72401-0000,388,83,21.39%,893,1660438                                                                                                                                               
000152,00108900,Arkansas Tech University,215 West O Street,Russellville,AR,72801-2222,20,3,15%,274,836691                                                                                                                                                 
000172,00109700,Harding University,915 East Market,Searcy,AR,72149-0001,303,23,7.59%,333,721755                                                                                                                                                           
000173,00109800,Henderson State University,1100 Henderson Street,Arkadelphia,AR,71999-0001,16,3,18.75%,249,394717                                                                                                                                         
000174,00109900,Hendrix College,1600 Washington Avenue,Conway,AR,72032-3080,83,16,19.28%,129,325672                                                                                                                                                       
000175,00110000,John Brown University,2000 West University Street,Siloam Springs,AR,72761-2747,53,8,15.09%,65,183048                                                                                                                                      
000151,00108800,Lyon College,2300 Highland Road,Batesville,AR,72501-3699,83,16,19.28%,35,108226                                                                                                                                                           
000169,01210500,National Park Community College,101 College Drive,Hot Springs,AR,71913-9174,0,0,0%,1,207                                                                                                                                                  
000181,00110200,Ouachita Baptist University,410 Ouachita Drive,Arkadelphia,AR,71998-0001,98,25,25.51%,54,196097                                                                                                                                           
000184,00110300,Philander Smith College,900 West Daisy Gaston Bates Drive,Little Rock,AR,72202-3718,0,0,0%,674,368358                                                                                                                                     
000194,00110700,Southern Arkansas University,100 East University,Magnolia,AR,71753-5000,42,9,21.43%,284,449398                                                                                                                                            
000201,00110800,University of Arkansas,425 Administration Building,Fayetteville,AR,72701-0000,493,61,12.37%,844,2500887                                                                                                                                   
000206,00111000,University of Arkansas at Fort Smith,5210 Grand Avenue,Fort Smith,AR,72904-7397,0,0,0%,22,7623                                                                                                                                            
000202,00110100,University of Arkansas at Little Rock,2801 South University,Little Rock,AR,72204-1099,0,0,0%,23,40583                                                                                                                                     
000204,00108500,University of Arkansas at Monticello,140 University Drive,Monticello,AR,71656-0000,91,35,38.46%,265,415260                                                                                                                                
000205,00108600,University of Arkansas at Pine Bluff,1200 North University Drive,Pine Bluff,AR,71601-2790,7,0,0%,20,17216                                                                                                                                 
000203,00110900,University of Arkansas for Medical Sciences,4301 West Markham Street,Little Rock,AR,72205-7102,93,10,10.75%,54,148280                                                                                                                     
000197,00109200,University of Central Arkansas,201 Donaghey Avenue,Conway,AR,72035-0001,395,71,17.97%,959,2114156                                                                                                                                         
000160,00109400,University of the Ozarks,415 North College Avenue,Clarksville,AR,72830-2880,2,0,0%,79,78291                                                                                                                                               
000285,01111700,Alliant International University,10455 Pomerado Road,San Diego,CA,92131-1799,245,26,10.61%,413,1570758                                                                                                                                    
005623,02099200,American Conservatory Theater Foundation,30 Grant Avenue,San Francisco,CA,94108-5800,7,2,28.57%,9,30213                                                                                                                                   
006584,02179900,Argosy University,601 South Lewis Street,Orange,CA,92868-4844,115,8,6.96%,825,1651390                                                                                                                                                     
000233,00111600,Art Center College of Design,1700 Lida Street,Pasadena,CA,91103-1999,78,33,42.31%,32,142278                                                                                                                                               
004630,00902200,Associated Technical College,1670 Wilshire Boulevard,Los Angeles,CA,90017-1604,1,0,0%,94,126525                                                                                                                                           
007486,02553100,Associated Technical College,1593 East Vista Way,Vista,CA,92084-3577,0,0,0%,19,34732                                                                                                                                                      
000236,00111700,Azusa Pacific University,901 East Alosta Avenue,Azusa,CA,91702-7000,154,17,11.04%,205,542477                                                                                                                                              
000237,00111800,Bakersfield College,1801 Panorama Drive,Bakersfield,CA,93305-1299,0,0,0%,96,102842                                                                                                                                                        
000247,00112100,Bethany University of the Assemblies of God,800 Bethany Drive,Scotts Valley,CA,95066-2896,49,19,38.78%,91,197404                                                                                                                          
000248,00112200,Biola University,13800 Biola Avenue,La Mirada,CA,90639-0001,182,4,2.2%,49,101288                                                                                                                                                          
000267,00112500,California Baptist University,8432 Magnolia Avenue,Riverside,CA,92504-3297,35,7,20%,76,209458                                                                                                                                             
000270,00112700,California College of the Arts,1111 Eighth Street,San Francisco,CA,94107-2206,104,12,11.54%,123,228678                                                                                                                                    
000275,00113100,California Institute of Technology,1200 East California Boulevard,Pasadena,CA,91125-0001,71,0,0%,19,73991                                                                                                                                 
000276,00113200,California Institute of the Arts,24700 McBean Parkway,Valencia,CA,91355-2397,72,3,4.17%,266,1207838                                                                                                                                       
000277,00113300,California Lutheran University,60 West Olsen Road,Thousand Oaks,CA,91360-2787,111,13,11.71%,51,225601                                                                                                                                     
000278,00113400,California Maritime Academy,200 Maritime Academy Drive,Vallejo,CA,94590-8181,46,5,10.87%,58,268364                                                                                                                                        
000280,00114300,California Polytechnic State University,One Grand Avenue,San Luis Obispo,CA,93407-0001,164,19,11.59%,181,656247                                                                                                                           
000292,00114400,California State Polytechnic University  Pomona,3801 West Temple Avenue,Pomona,CA,91768-2500,301,25,8.31%,335,676875                                                                                                                      
000287,00799300,California State University  Bakersfield,9001 Stockdale Highway,Bakersfield,CA,93311-1022,66,13,19.7%,212,505541                                                                                                                          
000293,00114600,California State University  Chico,400 West First Street,Chico,CA,95929-0001,203,34,16.75%,444,1427623                                                                                                                                    
000288,00114100,California State University  Dominguez Hills,1000 East Victoria Street,Carson,CA,90747-0001,62,18,29.03%,356,661281                                                                                                                       
000296,00113800,California State University  East Bay,25800 Carlos Bee Boulevard,Hayward,CA,94542-3000,237,33,13.92%,210,503304                                                                                                                           
000294,00114700,California State University  Fresno,5150 North Maple Avenue,Fresno,CA,93740-8026,95,13,13.68%,110,405216                                                                                                                                  
000295,00113700,California State University  Fullerton,800 North State College Boulevard,Fullerton,CA,92831-3599,232,19,8.19%,408,923127                                                                                                                  
000298,00113900,California State University  Long Beach,1250 Bellflower Boulevard,Long Beach,CA,90840-0006,545,45,8.26%,1083,2020305                                                                                                                      
000297,00114000,California State University  Los Angeles,5151 State University Drive,Los Angeles,CA,90032-4226,64,16,25%,525,1238449                                                                                                                      
008322,03260300,California State University  Monterey Bay,100 Campus Center,Seaside,CA,93955-8001,1,1,100%,2,6310                                                                                                                                         
000299,00115300,California State University  Northridge,18111 Nordhoff,Northridge,CA,91330-8307,122,10,8.2%,67,227635                                                                                                                                     
000289,00114200,California State University  San Bernardino,5500 University Parkway,San Bernardino,CA,92407-2397,50,3,6%,125,309373                                                                                                                       
007629,03011300,California State University  San Marcos,333 South Twin Oaks Valley Road,San Marcos,CA,92096-0001,48,1,2.08%,7,15456                                                                                                                       
000291,00115700,California State University  Stanislaus,One University Circle,Turlock,CA,95382-0299,104,28,26.92%,122,389809                                                                                                                              
000300,00115000,California State University - Sacramento,6000 J Street,Sacramento,CA,95819-6044,125,19,15.2%,219,795999                                                                                                                                   
004637,01310300,California Western School of Law,225 Cedar Street,San Diego,CA,92101-3090,131,8,6.11%,117,511335                                                                                                                                          
000260,00974800,Carrington College California,8909 Folsom Boulevard,Sacramento,CA,95826-3203,37,17,45.95%,92,193325                                                                                                                                       
000308,00673100,Casa Loma College,6725 Kester Avenue,Van Nuys,CA,91405-4523,112,5,4.46%,121,184202                                                                                                                                                        
000317,00116400,Chapman University,One University Drive,Orange,CA,92866-1099,167,7,4.19%,111,188246                                                                                                                                                       
005191,01036500,Charles Drew University of Medicine and Science,1731 East 120th Street,Los Angeles,CA,90059-3025,145,7,4.83%,72,135632                                                                                                                    
004642,00450200,City College of San Francisco,50 Phelan Avenue,San Francisco,CA,94112-1821,176,72,40.91%,992,1441394                                                                                                                                      
000322,00116900,Claremont Graduate University,170 East 10th Street,Claremont,CA,91711-6163,31,4,12.9%,51,218769                                                                                                                                           
000323,00117000,Claremont McKenna College,500 East Ninth Street,Claremont,CA,91711-6400,62,2,3.23%,25,102645                                                                                                                                              
000611,00128800,Claremont School of Theology,1325 North College Avenue,Claremont,CA,91711-3199,39,7,17.95%,29,131547                                                                                                                                      
005915,02147400,Cleveland Chiropractic College,590 North Vermont Avenue,Los Angeles,CA,90004-2196,30,6,20%,0,0                                                                                                                                            
000324,00117700,Cogswell Polytechnical College,1175 Bordeaux Drive,Sunnyvale,CA,94089-1210,0,0,0%,55,63327                                                                                                                                                
000524,00793000,Concorde Career College,4393 Imperial Avenue,San Diego,CA,92113-1962,11,2,18.18%,37,65554                                                                                                                                                 
000562,00853700,Concorde Career College,201 East Airport Center Drive,San Bernardino,CA,92408-3403,31,10,32.26%,132,275042                                                                                                                                
000609,00807100,Concorde Career College,12951 Euclid Street,Garden Grove,CA,92840-9201,21,3,14.29%,40,80209                                                                                                                                               
000659,00760700,Concorde Career College,12412 Victory Boulevard,North Hollywood,CA,91606-3134,63,15,23.81%,68,115062                                                                                                                                      
008085,02596400,Crimson Technical College,8911 Aviation Boulevard,Inglewood,CA,90301-2904,0,0,0%,24,49736                                                                                                                                                 
000361,00448000,De Anza Community College,21250 Stevens Creek Boulevard,Cupertino,CA,95014-5793,63,0,0%,0,0                                                                                                                                               
000363,00119600,Dominican University of California,50 Acacia Avenue,San Rafael,CA,94901-2298,62,16,25.81%,74,190282                                                                                                                                       
000365,02226000,East Los Angeles College,1301 Avenida Cesar Chavez,Monterey Park,CA,91754-6099,63,11,17.46%,135,228391                                                                                                                                    
000369,00119700,El Camino College,16007 Crenshaw Boulevard,Torrance,CA,90506-0002,0,0,0%,174,76624                                                                                                                                                        
000373,00903200,Empire College,3035 Cleveland Avenue,Santa Rosa,CA,95403-2122,14,4,28.57%,32,36820                                                                                                                                                        
000228,01206100,Everest College,1245 South Winchester,San Jose,CA,95128-3908,53,7,13.21%,195,235563                                                                                                                                                       
000255,00809000,Everest College,2215 Mission Road,Alhambra,CA,91803-1310,55,10,18.18%,128,132118                                                                                                                                                          
000256,01110700,Everest College,511 North  Brookhurst Street,Anaheim,CA,92801-5231,43,8,18.6%,245,273295                                                                                                                                                  
000257,01110900,Everest College,18040 Sherman Way,Reseda,CA,91335-4631,13,3,23.08%,0,0                                                                                                                                                                    
000259,00760600,Everest College,3460 Wilshire Boulevard,Los Angeles,CA,90010-2221,65,10,15.38%,197,285250                                                                                                                                                 
000261,01102400,Everest College,814 Mission Street,San Francisco,CA,94103-2091,30,3,10%,29,37898                                                                                                                                                          
000262,01112100,Everest College,22336 Main Street,Hayward,CA,94541-4007,27,3,11.11%,0,0                                                                                                                                                                   
000263,01112300,Everest College,1045 West Redondo Beach Boulevard,Gardena,CA,90247-4163,35,6,17.14%,94,99357                                                                                                                                              
000603,00449400,Everest College,217 East Club Center Drive,San Bernardino,CA,92408-3752,71,6,8.45%,0,0                                                                                                                                                    
000377,01111200,Fashion Institute of Design & Merchandising,919 South Grand Avenue,Los Angeles,CA,90015-1421,622,62,9.97%,1367,1930988                                                                                                                    
000386,00119900,Foothill College,12345 El Monte Road,Los Altos Hills,CA,94022-4597,104,29,27.88%,173,237510                                                                                                                                               
000523,00125300,Fresno Pacific University,1717 South Chestnut Avenue,Fresno,CA,93702-4798,43,14,32.56%,188,286800                                                                                                                                         
000389,00120000,Fuller Theological Seminary,135 North Oakland Avenue,Pasadena,CA,91182-0002,52,1,1.92%,18,56506                                                                                                                                           
000391,01202700,Galen College of California,1325 North Wishon,Fresno,CA,93728-2381,86,16,18.6%,153,215291                                                                                                                                                 
000392,00120200,Gavilan College,5055 Santa Teresa Boulevard,Gilroy,CA,95020-9599,0,0,0%,43,34752                                                                                                                                                          
006994,02231900,Gemological Institute of America,5345 Armada Drive,Carlsbad,CA,92008-4602,54,2,3.7%,50,57005                                                                                                                                              
000396,00120500,Golden Gate University,536 Mission Street,San Francisco,CA,94105-2967,76,5,6.58%,205,637187                                                                                                                                               
000398,00120700,Graduate Theological Union,2400 Ridge Road,Berkeley,CA,94709-1212,23,2,8.7%,14,84038                                                                                                                                                      
000399,00120800,Grossmont College,8800 Grossmont College Drive,El Cajon,CA,92020-1799,0,0,0%,5,3750                                                                                                                                                       
000402,00120900,Hartnell Community College,411 Central Avenue,Salinas,CA,93901-1697,0,0,0%,42,20125                                                                                                                                                       
000403,00117100,Harvey Mudd College,301 Platt Boulevard,Claremont,CA,91711-5990,70,3,4.29%,9,76605                                                                                                                                                        
006630,00723400,Heald College,875 Howard Street,San Francisco,CA,94103-3032,1,0,0%,68,66047                                                                                                                                                               
000415,00118300,Holy Names University,3500 Mountain Boulevard,Oakland,CA,94619-1699,68,20,29.41%,65,148818                                                                                                                                                
000522,00125200,Hope International University,2500 East Nutwood Avenue,Fullerton,CA,92831-3104,34,13,38.24%,51,113935                                                                                                                                     
000416,00114900,Humboldt State University,1 Harpst Street,Arcata,CA,95521-8299,111,38,34.23%,444,1199066                                                                                                                                                  
005668,02128300,Institute for Business & Technology,2400 Walsh Avenue,Santa Clara,CA,95051-1303,0,0,0%,20,22367                                                                                                                                           
000427,00448400,John F. Kennedy University,100 Ellinwood Way,Pleasant Hill,CA,94523-4817,17,2,11.76%,28,101046                                                                                                                                            
007906,00121500,La Sierra University,4500 Riverwalk Parkway,Riverside,CA,92515-3332,168,8,4.76%,196,629653                                                                                                                                                
000445,00121800,Loma Linda University,11139 Anderson Street,Loma Linda,CA,92350-0001,210,8,3.81%,133,337804                                                                                                                                               
000447,00121900,Long Beach City College,4901 East Carson Street,Long Beach,CA,90808-1780,32,10,31.25%,61,178180                                                                                                                                           
000450,00122300,Los Angeles City College,855 North Vermont Avenue,Los Angeles,CA,90029-3588,87,23,26.44%,247,301702                                                                                                                                       
005966,00616500,Los Angeles County College of Nursing and Allied Health,1237 North Mission Road,Los Angeles,CA,90033-1018,16,1,6.25%,25,47353                                                                                                             
000451,00122400,Los Angeles Harbor College,1111 Figueroa Place,Wilmington,CA,90744-2397,12,4,33.33%,39,52090                                                                                                                                              
000452,01255000,Los Angeles Mission College,13356 Eldridge Avenue,Sylmar,CA,91342-3200,14,4,28.57%,15,23968                                                                                                                                               
000453,00122600,Los Angeles Pierce College,6201 Winnetka Avenue,Woodland Hills,CA,91371-0001,36,15,41.67%,66,115227                                                                                                                                       
000455,00704700,Los Angeles Southwest College,1600 West Imperial Highway,Los Angeles,CA,90047-4810,50,17,34%,198,175568                                                                                                                                   
000456,00122700,Los Angeles Trade-Technical College,400 West Washington Boulevard,Los Angeles,CA,90015-4181,96,37,38.54%,369,517297                                                                                                                       
000457,00122800,Los Angeles Valley College,5800 Fulton Avenue,Valley Glen,CA,91401-4096,95,12,12.63%,149,180346                                                                                                                                           
000459,01164900,Loyola Marymount University,1 LMU Drive,Los Angeles,CA,90045-2659,453,34,7.51%,332,1353050                                                                                                                                                
000465,00714200,Lyle's College of Beauty,6735 North First Street,Fresno,CA,93710-3948,15,6,40%,91,81107                                                                                                                                                   
005200,02208600,Madera Beauty College,325 N Gateway Drive,Madera,CA,93637-3519,0,0,0%,1,771                                                                                                                                                               
000467,01231600,Manchester Beauty College,3756 North Blackstone Avenue,Fresno,CA,93726-5306,0,0,0%,3,1705                                                                                                                                                 
000610,00123000,Marshall B. Ketchum University,2575 Yorba Linda Boulevard,Fullerton,CA,92831-1699,83,3,3.61%,7,50378                                                                                                                                      
000449,00122000,Master's College & Seminary (The),21726 Placerita Canyon Road,Santa Clarita,CA,91321-1200,73,12,16.44%,123,249051                                                                                                                         
000475,01167200,Mendocino College,1000 Hensley Creek Road,Ukiah,CA,95482-3000,0,0,0%,32,24338                                                                                                                                                             
000481,00123800,Mills College,5000 MacArthur Boulevard,Oakland,CA,94613-1301,101,21,20.79%,136,329407                                                                                                                                                     
005370,02119100,Mission College,3000 Mission College Boulevard,Santa Clara,CA,95054-1897,0,0,0%,11,15358                                                                                                                                                  
000491,00124500,Mount San Antonio College,1100 North Grand Avenue,Walnut,CA,91789-1399,4,3,75%,49,77307                                                                                                                                                   
000500,01146000,National University,11255 North Torrey Pines Road,La Jolla,CA,92037-1011,422,14,3.32%,726,1408918                                                                                                                                         
005202,01170700,North-West College,2121 West Garvey Avenue  North,West Covina,CA,91790-2097,36,2,5.56%,332,702817                                                                                                                                         
005290,01287200,North-West College,134 West Holt Avenue,Pomona,CA,91768-3199,20,2,10%,152,285727                                                                                                                                                          
007521,02591600,North-West College,530 East Union Street,Pasadena,CA,91101-1744,5,1,20%,35,64976                                                                                                                                                          
000332,00117900,Notre Dame de Namur University,1500 Ralston Avenue,Belmont,CA,94002-1997,38,6,15.79%,99,147672                                                                                                                                            
000515,00124900,Occidental College,1600 Campus Road,Los Angeles,CA,90041-3314,39,1,2.56%,44,213548                                                                                                                                                        
004675,01298900,Oceanside College of Beauty,1575 South Coast Highway,Oceanside,CA,92054-5393,0,0,0%,7,4789                                                                                                                                                
005174,00125000,Orange Coast College,2701 Fairview Road,Costa Mesa,CA,92628-5005,120,21,17.5%,144,379199                                                                                                                                                  
000519,00125100,Otis College of Art & Design,9045 Lincoln Boulevard,Los Angeles,CA,90045-3505,11,3,27.27%,27,45339                                                                                                                                        
