Serial,OPEID,InstitutionName,Address,City,ST,Zip,BwrsWhoEnteredRepayment Status,BwrsInDefault,CohortDefaultRate,TotalBwrsInDefault,TotalPrincipalOutstandingOnLoansInDefault
000041,00102200,Jefferson State Community College,2601 Carson Road,Birmingham,AL,35215-3098,0,0,0%,5,7204
000044,00102300,Judson College,302 Bibb Street,Marion,AL,36756-2504,30,11,36.67%,42,63975
000052,00102800,Miles College,5500 Myron Massey Boulevard,Fairfield,AL,35064-2697,0,0,0%,156,95283
000059,00103300,Oakwood University,7000 Adventist Boulevard  Northwest,Huntsville,AL,35896-0001,0,0,0%,152,89761
000064,00103600,Samford University,800 Lakeshore Drive,Birmingham,AL,35229-7000,191,21,10.99%,127,376528
000071,00104100,Spring Hill College,4000 Dauphin Street,Mobile,AL,36608-1791,123,21,17.07%,188,360012
000072,00104400,Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35401-1430,32,11,34.38%,107,36100
000074,00104700,Troy University,University Avenue,Troy,AL,36082-0001,87,30,34.48%,326,826740
000076,00105000,Tuskegee University,308 Kresge Center,Tuskegee Institute,AL,36088-1645,321,67,20.87%,3706,5636971
000079,00105100,University of Alabama,Rose Administration Building,Tuscaloosa,AL,35487-0120,503,68,13.52%,661,1802884
000080,00105200,University of Alabama at Birmingham,1530 3rd Avenue South,Birmingham,AL,35294-1150,487,62,12.73%,479,1456111
000053,00102900,University of Mobile,5735 College Parkway,Mobile,AL,36663-0220,46,10,21.74%,97,157946
000082,00100400,University of Montevallo,Palmer Circle,Montevallo,AL,35115-6000,59,10,16.95%,106,107587
000027,00101600,University of North Alabama,One Harrison Plaza,Florence,AL,35632-0001,123,17,13.82%,230,373925
000083,00105700,University of South Alabama,307 University Boulevard North,Mobile,AL,36688-0002,78,4,5.13%,82,183250
000046,00102400,University of West Alabama,205 North Washington,Livingston,AL,35470-0000,50,13,26%,136,141411
000097,01084700,Arizona Automotive Institute,6829 North 46th Avenue,Glendale,AZ,85301-3503,3,0,0%,45,30089
000140,00711300,Arizona Christian University,2625 East Cactus Road,Phoenix,AZ,85032-7097,0,0,0%,6,17234
000101,00108100,Arizona State University,Student Financial Assistance Office,Tempe,AZ,85287-0412,678,137,20.21%,770,2371138
008903,04051300,Art Institute of Phoenix (The),2233 West Dunlap Avenue,Phoenix,AZ,85021-2859,44,15,34.09%,2129,2775613
000134,00728300,Central Arizona College,8470 North Overfield Road,Coolidge,AZ,85228-9779,0,0,0%,54,25868
008032,03072200,Chandler - Gilbert Community College,2626 East Pecos Road,Chandler,AZ,85225-2499,1,1,100%,0,0
000122,00830300,GateWay Community College,108 North 40th Street,Phoenix,AZ,85034-1795,18,3,16.67%,36,48680
000115,00107600,Glendale Community College,6000 West Olive Avenue,Glendale,AZ,85302-3090,0,0,0%,20,29932
000118,00107400,Grand Canyon University,3300 West Camelback Road,Phoenix,AZ,85017-3030,176,53,30.11%,354,753261
000123,00107700,Mesa Community College,1833 West Southern Avenue,Mesa,AZ,85202-4866,17,6,35.29%,51,87232
000126,00108200,Northern Arizona University,Gammage  Building #1 Knoles Drive,Flagstaff,AZ,86011-0001,333,64,19.22%,665,1613139
000131,00107800,Phoenix College,1202 West Thomas Road,Phoenix,AZ,85013-4234,13,3,23.08%,75,152943
000133,00726600,Pima County Community College,401 North Bonita Avenue,Tucson,AZ,85709-5000,33,14,42.42%,198,511624
006229,02217100,Pima Medical Institute,3350 East Grant Road,Tucson,AZ,85716-2800,0,0,0%,12,19413
000139,00830400,Scottsdale Community College,9000 East Chaparral Road,Scottsdale,AZ,85256-2626,10,4,40%,17,24431
000094,00107000,Thunderbird School of Global Management,1 Global Place,Glendale,AZ,85306-6000,91,8,8.79%,127,503682
000112,00446700,Tucson College,5151 East Broadway Boulevard,Tucson,AZ,85711-3781,0,0,0%,84,69186
000146,00822100,Universal Technical Institute,10695 West Pierce Street,Avondale,AZ,85323-7946,96,17,17.71%,840,937351
005461,02100500,Universal Technical Institute,2844 West Deer Valley Road,Phoenix,AZ,85027-9969,24,6,25%,165,153137
000147,00108300,University of Arizona (The),PO Box 210066,Tucson,AZ,85721-0066,352,56,15.91%,418,1622084
005877,02171500,Western International University,1601 West Fountainhead Parkway,Tempe,AZ,85282-0000,17,12,70.59%,31,56592
000148,00107900,Yavapai College,1100 East Sheldon Street,Prescott,AZ,86301-3297,23,9,39.13%,74,160915
000153,00109000,Arkansas State University,2105 Aggie Road,Jonesboro,AR,72401-0000,350,65,18.57%,978,1863127
000152,00108900,Arkansas Tech University,215 West O Street,Russellville,AR,72801-2222,48,7,14.58%,282,822562
000172,00109700,Harding University,915 East Market,Searcy,AR,72149-0001,298,37,12.42%,390,919234
000173,00109800,Henderson State University,1100 Henderson Street,Arkadelphia,AR,71999-0001,38,5,13.16%,237,336540
000174,00109900,Hendrix College,1600 Washington Avenue,Conway,AR,72032-3080,103,15,14.56%,148,385806
000175,00110000,John Brown University,2000 West University Street,Siloam Springs,AR,72761-2747,42,4,9.52%,24,114657
000151,00108800,Lyon College,2300 Highland Road,Batesville,AR,72501-3699,67,9,13.43%,33,90568
000181,00110200,Ouachita Baptist University,410 Ouachita Drive,Arkadelphia,AR,71998-0001,77,16,20.78%,46,161730
000184,00110300,Philander Smith College,900 West Daisy Gaston Bates Drive,Little Rock,AR,72202-3718,0,0,0%,674,368358
000194,00110700,Southern Arkansas University,100 East University,Magnolia,AR,71753-5000,64,14,21.88%,283,432607
000201,00110800,University of Arkansas,425 Administration Building,Fayetteville,AR,72701-0000,492,59,11.99%,860,2561746
000206,00111000,University of Arkansas at Fort Smith,5210 Grand Avenue,Fort Smith,AR,72904-7397,0,0,0%,22,7623
000202,00110100,University of Arkansas at Little Rock,2801 South University,Little Rock,AR,72204-1099,0,0,0%,23,40583
000204,00108500,University of Arkansas at Monticello,140 University Drive,Monticello,AR,71656-0000,50,22,44%,264,398409
000203,00110900,University of Arkansas for Medical Sciences,4301 West Markham Street,Little Rock,AR,72205-7102,47,4,8.51%,50,148764
000197,00109200,University of Central Arkansas,201 Donaghey Avenue,Conway,AR,72035-0001,306,57,18.63%,998,2190008
000160,00109400,University of the Ozarks,415 North College Avenue,Clarksville,AR,72830-2880,2,0,0%,79,78291
000285,01111700,Alliant International University,10455 Pomerado Road,San Diego,CA,92131-1799,273,31,11.36%,380,1487709
005623,02099200,American Conservatory Theater Foundation,30 Grant Avenue,San Francisco,CA,94108-5800,4,1,25%,8,27689
006584,02179900,Argosy University,601 South Lewis Street,Orange,CA,92868-4844,79,12,15.19%,446,1075131
000233,00111600,Art Center College of Design,1700 Lida Street,Pasadena,CA,91103-1999,71,29,40.85%,39,176037
004630,00902200,Associated Technical College,1670 Wilshire Boulevard,Los Angeles,CA,90017-1604,2,0,0%,31,44998
007485,02553500,Associated Technical College,707 Broadway,San Diego,CA,92101-3245,1,1,100%,1,5000
007486,02553100,Associated Technical College,1593 East Vista Way,Vista,CA,92084-3577,0,0,0%,5,4363
000236,00111700,Azusa Pacific University,901 East Alosta Avenue,Azusa,CA,91702-7000,150,21,14%,203,512961
000237,00111800,Bakersfield College,1801 Panorama Drive,Bakersfield,CA,93305-1299,0,0,0%,96,102842
000247,00112100,Bethany University of the Assemblies of God,800 Bethany Drive,Scotts Valley,CA,95066-2896,106,36,33.96%,0,0
000248,00112200,Biola University,13800 Biola Avenue,La Mirada,CA,90639-0001,156,5,3.21%,56,116303
000228,01206100,Bryman College,1245 South Winchester,San Jose,CA,95128-3908,39,6,15.38%,73,66969
000259,00760600,Bryman College,3460 Wilshire Boulevard,Los Angeles,CA,90010-2221,55,14,25.45%,11,17550
000261,01102400,Bryman College,814 Mission Street,San Francisco,CA,94103-2091,97,18,18.56%,0,0
000262,01112100,Bryman College,22336 Main Street,Hayward,CA,94541-4007,1,0,0%,0,0
000267,00112500,California Baptist University,8432 Magnolia Avenue,Riverside,CA,92504-3297,35,7,20%,88,220306
000270,00112700,California College of the Arts,1111 Eighth Street,San Francisco,CA,94107-2206,31,3,9.68%,126,260349
000275,00113100,California Institute of Technology,1200 East California Boulevard,Pasadena,CA,91125-0001,89,0,0%,19,71834
000276,00113200,California Institute of the Arts,24700 McBean Parkway,Valencia,CA,91355-2397,120,8,6.67%,286,1315409
000277,00113300,California Lutheran University,60 West Olsen Road,Thousand Oaks,CA,91360-2787,23,2,8.7%,47,208111
000278,00113400,California Maritime Academy,200 Maritime Academy Drive,Vallejo,CA,94590-8181,49,7,14.29%,63,277118
000280,00114300,California Polytechnic State University,One Grand Avenue,San Luis Obispo,CA,93407-0001,125,18,14.4%,176,660149
000292,00114400,California State Polytechnic University  Pomona,3801 West Temple Avenue,Pomona,CA,91768-2500,310,34,10.97%,355,751069
000287,00799300,California State University  Bakersfield,9001 Stockdale Highway,Bakersfield,CA,93311-1022,64,27,42.19%,234,594362
000293,00114600,California State University  Chico,400 West First Street,Chico,CA,95929-0001,238,34,14.29%,411,1282229
000288,00114100,California State University  Dominguez Hills,1000 East Victoria Street,Carson,CA,90747-0001,69,16,23.19%,305,552697
000296,00113800,California State University  East Bay,25800 Carlos Bee Boulevard,Hayward,CA,94542-3000,269,54,20.07%,219,533034
000294,00114700,California State University  Fresno,5150 North Maple Avenue,Fresno,CA,93740-8026,115,14,12.17%,120,429444
000295,00113700,California State University  Fullerton,800 North State College Boulevard,Fullerton,CA,92831-3599,192,15,7.81%,405,936308
000298,00113900,California State University  Long Beach,1250 Bellflower Boulevard,Long Beach,CA,90840-0006,564,63,11.17%,1138,2141914
000297,00114000,California State University  Los Angeles,5151 State University Drive,Los Angeles,CA,90032-4226,79,17,21.52%,545,1311867
008322,03260300,California State University  Monterey Bay,100 Campus Center,Seaside,CA,93955-8001,2,2,100%,2,6310
000299,00115300,California State University  Northridge,18111 Nordhoff,Northridge,CA,91330-8307,82,11,13.41%,60,208395
000289,00114200,California State University  San Bernardino,5500 University Parkway,San Bernardino,CA,92407-2397,41,7,17.07%,133,337363
007629,03011300,California State University  San Marcos,333 South Twin Oaks Valley Road,San Marcos,CA,92096-0001,51,2,3.92%,9,16017
000291,00115700,California State University  Stanislaus,One University Circle,Turlock,CA,95382-0299,49,10,20.41%,128,423695
000300,00115000,California State University - Sacramento,6000 J Street,Sacramento,CA,95819-6044,136,9,6.62%,223,789491
004637,01310300,California Western School of Law,225 Cedar Street,San Diego,CA,92101-3090,144,9,6.25%,119,508413
000260,00974800,Carrington College,8909 Folsom Boulevard,Sacramento,CA,95826-3203,64,43,67.19%,130,262967
000308,00673100,Casa Loma College,6725 Kester Avenue,Van Nuys,CA,91405-4523,80,0,0%,132,203774
000317,00116400,Chapman University,One University Drive,Orange,CA,92866-1099,154,10,6.49%,115,155050
005191,01036500,Charles Drew University of Medicine and Science,1731 East 120th Street,Los Angeles,CA,90059-3025,0,0,0%,69,130539
004642,00450200,City College of San Francisco,50 Phelan Avenue,San Francisco,CA,94112-1821,135,39,28.89%,999,1456193
000322,00116900,Claremont Graduate University,170 East 10th Street,Claremont,CA,91711-6163,30,5,16.67%,61,275443
000323,00117000,Claremont McKenna College,500 East Ninth Street,Claremont,CA,91711-6400,35,3,8.57%,30,140212
000611,00128800,Claremont School of Theology,1325 North College Avenue,Claremont,CA,91711-3199,46,7,15.22%,31,145711
000324,00117700,Cogswell Polytechnical College,1175 Bordeaux Drive,Sunnyvale,CA,94089-1210,0,0,0%,55,63327
000524,00793000,Concorde Career College,4393 Imperial Avenue,San Diego,CA,92113-1962,14,7,50%,45,84208
000562,00853700,Concorde Career College,201 East Airport Center Drive,San Bernardino,CA,92408-3403,87,24,27.59%,139,291462
000609,00807100,Concorde Career College,12951 Euclid Street,Garden Grove,CA,92840-9201,13,2,15.38%,38,72920
000659,00760700,Concorde Career College,12412 Victory Boulevard,North Hollywood,CA,91606-3134,54,18,33.33%,72,130042
008085,02596400,Crimson Technical College,8911 Aviation Boulevard,Inglewood,CA,90301-2904,0,0,0%,24,49736
000361,00448000,De Anza Community College,21250 Stevens Creek Boulevard,Cupertino,CA,95014-5793,63,0,0%,0,0
000363,00119600,Dominican University of California,50 Acacia Avenue,San Rafael,CA,94901-2298,57,13,22.81%,94,231874
000365,02226000,East Los Angeles College,1301 Avenida Cesar Chavez,Monterey Park,CA,91754-6099,60,11,18.33%,141,242295
000373,00903200,Empire College,3035 Cleveland Avenue,Santa Rosa,CA,95403-2122,12,4,33.33%,30,32877
000255,00809000,Everest College,2215 Mission Road,Alhambra,CA,91803-1310,48,11,22.92%,0,0
000256,01110700,Everest College,511 North  Brookhurst Street,Anaheim,CA,92801-5231,34,8,23.53%,0,0
000257,01110900,Everest College,18040 Sherman Way,Reseda,CA,91335-4631,11,3,27.27%,0,0
000263,01112300,Everest College,1045 West Redondo Beach Boulevard,Gardena,CA,90247-4163,24,5,20.83%,0,0
000603,00449400,Everest College,217 East Club Center Drive,San Bernardino,CA,92408-3752,61,5,8.2%,0,0
000377,01111200,Fashion Institute of Design & Merchandising,919 South Grand Avenue,Los Angeles,CA,90015-1421,618,57,9.22%,1342,1857194
000386,00119900,Foothill College,12345 El Monte Road,Los Altos Hills,CA,94022-4597,75,11,14.67%,0,0
000523,00125300,Fresno Pacific University,1717 South Chestnut Avenue,Fresno,CA,93702-4798,93,26,27.96%,199,293527
000389,00120000,Fuller Theological Seminary,135 North Oakland Avenue,Pasadena,CA,91182-0002,60,1,1.67%,19,74639
000392,00120200,Gavilan College,5055 Santa Teresa Boulevard,Gilroy,CA,95020-9599,0,0,0%,4,2534
006994,02231900,Gemological Institute of America,5345 Armada Drive,Carlsbad,CA,92008-4602,63,5,7.94%,56,66722
000396,00120500,Golden Gate University,536 Mission Street,San Francisco,CA,94105-2967,53,1,1.89%,190,610757
000398,00120700,Graduate Theological Union,2400 Ridge Road,Berkeley,CA,94709-1212,20,3,15%,11,66257
000399,00120800,Grossmont College,8800 Grossmont College Drive,El Cajon,CA,92020-1799,0,0,0%,5,3750
000402,00120900,Hartnell Community College,411 Central Avenue,Salinas,CA,93901-1697,0,0,0%,40,19201
000403,00117100,Harvey Mudd College,301 Platt Boulevard,Claremont,CA,91711-5990,59,1,1.69%,10,98170
006630,00723400,Heald College,875 Howard Street,San Francisco,CA,94103-3032,0,0,0%,69,67224
000415,00118300,Holy Names University,3500 Mountain Boulevard,Oakland,CA,94619-1699,78,22,28.21%,64,141728
000522,00125200,Hope International University,2500 East Nutwood Avenue,Fullerton,CA,92831-3104,37,15,40.54%,55,118670
000416,00114900,Humboldt State University,1 Harpst Street,Arcata,CA,95521-8299,169,33,19.53%,458,1222588
005668,02128300,Institute for Business & Technology,2400 Walsh Avenue,Santa Clara,CA,95051-1303,0,0,0%,20,22367
000427,00448400,John F. Kennedy University,100 Ellinwood Way,Pleasant Hill,CA,94523-4817,22,6,27.27%,31,138606
007906,00121500,La Sierra University,4500 Riverwalk Parkway,Riverside,CA,92515-3332,189,10,5.29%,207,658758
000445,00121800,Loma Linda University,11139 Anderson Street,Loma Linda,CA,92350-0001,230,6,2.61%,133,335559
000447,00121900,Long Beach City College,4901 East Carson Street,Long Beach,CA,90808-1780,23,9,39.13%,69,218157
000450,00122300,Los Angeles City College,855 North Vermont Avenue,Los Angeles,CA,90029-3588,75,17,22.67%,253,316158
005966,00616500,Los Angeles County College of Nursing and Allied Health,1237 North Mission Road,Los Angeles,CA,90033-1018,23,2,8.7%,28,49000
000451,00122400,Los Angeles Harbor College,1111 Figueroa Place,Wilmington,CA,90744-2397,8,3,37.5%,37,52596
000452,01255000,Los Angeles Mission College,13356 Eldridge Avenue,Sylmar,CA,91342-3200,14,2,14.29%,16,26191
000453,00122600,Los Angeles Pierce College,6201 Winnetka Avenue,Woodland Hills,CA,91371-0001,54,18,33.33%,74,134916
000455,00704700,Los Angeles Southwest College,1600 West Imperial Highway,Los Angeles,CA,90047-4810,58,16,27.59%,205,183381
000456,00122700,Los Angeles Trade-Technical College,400 West Washington Boulevard,Los Angeles,CA,90015-4181,80,35,43.75%,375,529441
000457,00122800,Los Angeles Valley College,5800 Fulton Avenue,Valley Glen,CA,91401-4096,77,11,14.29%,153,195889
000459,01164900,Loyola Marymount University,1 LMU Drive,Los Angeles,CA,90045-2659,318,4,1.26%,363,1517020
000465,00714200,Lyle's College of Beauty,6735 North First Street,Fresno,CA,93710-3948,11,5,45.45%,94,86096
000610,00123000,Marshall B. Ketchum University,2575 Yorba Linda Boulevard,Fullerton,CA,92831-1699,89,1,1.12%,5,31704
000449,00122000,Master's College & Seminary (The),21726 Placerita Canyon Road,Santa Clarita,CA,91321-1200,18,3,16.67%,121,251806
000475,01167200,Mendocino College,1000 Hensley Creek Road,Ukiah,CA,95482-3000,0,0,0%,32,24338
000481,00123800,Mills College,5000 MacArthur Boulevard,Oakland,CA,94613-1301,106,11,10.38%,141,347039
000491,00124500,Mount San Antonio College,1100 North Grand Avenue,Walnut,CA,91789-1399,2,0,0%,50,80598
000500,01146000,National University,11255 North Torrey Pines Road,La Jolla,CA,92037-1011,257,9,3.5%,722,1364838
005202,01170700,North-West College,2121 West Garvey Avenue  North,West Covina,CA,91790-2097,7,1,14.29%,326,735129
005290,01287200,North-West College,134 West Holt Avenue,Pomona,CA,91768-3199,12,2,16.67%,155,299532
007521,02591600,North-West College,530 East Union Street,Pasadena,CA,91101-1744,8,1,12.5%,36,69958
000332,00117900,Notre Dame de Namur University,1500 Ralston Avenue,Belmont,CA,94002-1997,38,7,18.42%,102,162034
000515,00124900,Occidental College,1600 Campus Road,Los Angeles,CA,90041-3314,96,0,0%,37,168098
004675,01298900,Oceanside College of Beauty,1575 South Coast Highway,Oceanside,CA,92054-5393,0,0,0%,7,4789
005174,00125000,Orange Coast College,2701 Fairview Road,Costa Mesa,CA,92628-5005,70,13,18.57%,168,2850819
000519,00125100,Otis College of Art & Design,9045 Lincoln Boulevard,Los Angeles,CA,90045-3505,12,3,25%,29,60337
000525,00125500,Pacific Oaks College,55 Eureka Street,Pasadena,CA,91103-3606,57,23,40.35%,62,149858
000526,00125600,Pacific School of Religion,1798 Scenic Avenue,Berkeley,CA,94709-1323,1,0,0%,2,9500
000528,00125800,Pacific Union College,1 Angwin Avenue,Angwin,CA,94508-9797,99,13,13.13%,250,618401
000532,00126100,Pasadena City College,1570 East Colorado Boulevard,Pasadena,CA,91106-2003,88,41,46.59%,144,265233
000536,01014900,Pepperdine University,24255 Pacific Coast Highway,Malibu,CA,90263-4301,270,7,2.59%,197,954940
000539,00117200,Pitzer College,1050 North Mills Avenue,Claremont,CA,91711-6101,88,5,5.68%,88,402658
000540,00126200,Point Loma Nazarene University,3900 Lomaland Drive,San Diego,CA,92106-2899,117,7,5.98%,142,332943
000541,00117300,Pomona College,550 North College Avenue,Claremont,CA,91711-6301,36,4,11.11%,53,287356
000551,00126900,Rio Hondo Community College,3600 Workman Mill Road,Whittier,CA,90601-1699,0,0,0%,87,53720
000557,00891800,Saddleback College,28000 Marguerite Parkway,Mission Viejo,CA,92692-3699,4,0,0%,2,5812
000558,00130200,Saint Mary's College of California,1928 Saint Mary's Road,Moraga,CA,94556-2744,158,14,8.86%,167,309201
005919,00701200,Samuel Merritt University,450 30th Street,Oakland,CA,94609-3108,68,3,4.41%,77,451379
000563,00127200,San Bernardino Valley College,701 South Mount Vernon Avenue,San Bernardino,CA,92410-2798,26,8,30.77%,82,59308
005046,01203100,San Diego Christian College,2100 Greenfield Drive,El Cajon,CA,92019-1157,23,6,26.09%,17,36940
000301,00115100,San Diego State University,5500 Campanile Drive,San Diego,CA,92182-1690,177,8,4.52%,213,881378
000572,00127800,San Francisco Conservatory of Music,50 Oak Street,San Francisco,CA,94102-6011,56,5,8.93%,38,159093
000574,00115400,San Francisco State University,1600 Holloway Avenue,San Francisco,CA,94132-1740,786,73,9.29%,1133,1894842
000579,00115500,San Jose State University,One Washington Square,San Jose,CA,95192-0036,272,19,6.99%,328,1401280
000580,00128400,Santa Ana College,1530 West 17th Street,Santa Ana,CA,92706-3398,18,2,11.11%,12,22857
004694,00998900,Santa Barbara Business College,4839 Market Street,Ventura,CA,93003-8053,5,0,0%,138,204139
000583,00128500,Santa Barbara City College,721 Cliff Drive,Santa Barbara,CA,93109-2394,0,0,0%,5,3154
000653,00132600,Santa Clara University,500 El Camino Real,Santa Clara,CA,95053-4956,160,18,11.25%,237,1066816
000597,00117400,Scripps College,1030 Columbia Avenue,Claremont,CA,91711-3948,68,5,7.35%,44,169617
000601,00129100,Simpson University,2211 College View Drive,Redding,CA,96003-8606,45,9,20%,32,45678
000290,00115600,Sonoma State University,1801 East Cotati Avenue,Rohnert Park,CA,94928-3609,45,7,15.56%,42,154412
000618,00129500,Southwestern Law School,3050 Wilshire Boulevard,Los Angeles,CA,90010-1106,152,4,2.63%,164,1266447
000619,00130500,Stanford University,1 Stanford University,Stanford,CA,94305-1926,844,31,3.67%,255,1973926
005040,01085400,Thomas Jefferson School of Law,1155 Island Avenue,San Diego,CA,92101-2928,23,7,30.43%,27,124718
007805,02559300,United Education Institute,6055 Pacific Boulevard,Huntington Park,CA,90255-2933,0,0,0%,96,203861
000638,00131200,University of California  Berkeley,200 California Hall,Berkeley,CA,94720-1520,2021,66,3.27%,725,1629407
000639,00131300,University of California  Davis,One Shields Avenue,Davis,CA,95616-8558,2440,171,7.01%,947,2798941
000404,00394700,University of California  Hastings College of the Law,200 McAllister Street,San Francisco,CA,94102-4978,360,18,5%,109,833534
000640,00131400,University of California  Irvine,501 Aldrich Hall,Irvine,CA,92697-0001,549,19,3.46%,439,1086003
000641,00131500,University of California  Los Angeles,405 Hilgard Avenue,Los Angeles,CA,90095-9000,2666,61,2.29%,832,2200112
000642,00131600,University of California  Riverside,900 University Avenue,Riverside,CA,92521-0209,782,67,8.57%,495,850957
000644,00131700,University of California  San Diego,9500 Gilman Drive,La Jolla,CA,92093-0013,1102,94,8.53%,983,2220166
000645,00131900,University of California  San Francisco,513 Parnassus Avenue,San Francisco,CA,94143-0246,261,6,2.3%,19,207612
000643,00132000,University of California  Santa Barbara,5221 Cheadle Hall,Santa Barbara,CA,93106-2030,840,106,12.62%,943,2795806
000646,00132100,University of California  Santa Cruz,1156 High Street,Santa Cruz,CA,95064-0001,1064,85,7.99%,601,1044010
000435,00121600,University of La Verne,1950 3rd Street,La Verne,CA,91750-4443,304,34,11.18%,410,548520
000648,00132200,University of Redlands,1200 East Colton Avenue,Redlands,CA,92373-0999,151,19,12.58%,197,559569
000649,01039500,University of San Diego,5998 Alcala Park,San Diego,CA,92110-2492,450,38,8.44%,356,1277389
000652,00132500,University of San Francisco,2130 Fulton Street,San Francisco,CA,94117-1080,285,10,3.51%,209,742119
000654,00132800,University of Southern California,University Park Campus,Los Angeles,CA,90089-0001,1396,48,3.44%,1892,6135736
000655,00132900,University of the Pacific,3601 Pacific Avenue,Stockton,CA,95211-0197,402,38,9.45%,427,1807799
000612,00129300,Vanguard University of Southern California,55 Fair Drive,Costa Mesa,CA,92626-6597,110,16,14.55%,178,370697
000675,00117600,West Hills Community College,300 Cherry Lane,Coalinga,CA,93210-1399,0,0,0%,4,4291
